flower_name,color,petal_count,bloom_season,average_height,sunlight_requirement,watering_frequency,bloom_color,height_cm
Jojo,Orange,26,Winter,53.09,Partial Sun,Daily,Red,137
Osgood,Violet,14,Spring,35.82,Partial Sun,Bi-weekly,Purple,180
Carling,Purple,71,Summer,11.39,Partial Sun,Daily,Pink,171
Evangelin,Pink,93,Spring,59.48,Full Sun,Weekly,White,122
Graehme,Pink,60,Fall,55.7,Shade,Daily,Purple,73
Sofia,Crimson,14,Winter,20.43,Full Sun,Bi-weekly,Yellow,160
Valaria,Violet,93,Fall,8.82,Partial Sun,Bi-weekly,White,196
Meredith,Mauv,78,Spring,42.05,Full Sun,Daily,Red,122
Edithe,Pink,30,Spring,21.73,Partial Sun,Daily,Red,78
Hartley,Goldenrod,94,Summer,36.3,Full Sun,Bi-weekly,Yellow,137
Merrill,Orange,30,Summer,20.83,Partial Sun,Bi-weekly,Yellow,35
Bartholemy,Pink,56,Summer,42.25,Shade,Bi-weekly,Yellow,198
Morly,Pink,35,Fall,58.72,Full Sun,Weekly,Pink,84
Nerita,Blue,62,Summer,11.83,Partial Sun,Daily,White,176
Jenica,Teal,9,Fall,54.06,Partial Sun,Daily,White,47
Lyn,Goldenrod,74,Fall,34.81,Full Sun,Weekly,Pink,40
Gabey,Violet,68,Winter,46.64,Shade,Bi-weekly,Pink,47
Vidovic,Mauv,42,Winter,55.8,Shade,Daily,Yellow,19
Nicholle,Pink,28,Winter,45.63,Shade,Bi-weekly,Red,15
Heinrik,Green,54,Winter,6.43,Shade,Bi-weekly,Yellow,104
Nick,Khaki,38,Spring,7.25,Partial Sun,Bi-weekly,Purple,200
Kinsley,Maroon,16,Summer,6.96,Full Sun,Daily,White,65
Meggie,Goldenrod,71,Fall,20.79,Partial Sun,Weekly,White,80
Nanice,Yellow,45,Fall,17.0,Full Sun,Weekly,Pink,96
Marsha,Purple,73,Summer,31.09,Shade,Bi-weekly,Pink,53
Felice,Turquoise,22,Summer,35.96,Shade,Weekly,Red,18
Carita,Indigo,6,Fall,26.45,Partial Sun,Bi-weekly,White,165
Fionnula,Mauv,49,Winter,55.79,Partial Sun,Daily,White,109
Calvin,Aquamarine,88,Summer,33.29,Shade,Daily,White,27
Brander,Blue,87,Winter,19.68,Full Sun,Daily,Yellow,198
Guendolen,Violet,14,Spring,52.7,Partial Sun,Bi-weekly,Red,43
Kellia,Red,36,Summer,56.77,Shade,Weekly,White,145
Kanya,Goldenrod,97,Summer,39.37,Partial Sun,Daily,Purple,14
Lance,Orange,46,Fall,54.26,Full Sun,Weekly,Yellow,74
Ginelle,Aquamarine,36,Spring,57.63,Shade,Bi-weekly,Red,126
Timotheus,Yellow,8,Fall,36.24,Shade,Daily,Yellow,153
Devin,Orange,53,Spring,29.81,Full Sun,Bi-weekly,Purple,114
Pattie,Violet,33,Fall,39.65,Shade,Weekly,Red,83
Rick,Teal,76,Winter,51.0,Partial Sun,Bi-weekly,Pink,117
Kingston,Khaki,48,Spring,50.68,Full Sun,Weekly,Purple,39
Garvy,Maroon,41,Summer,45.87,Full Sun,Daily,Yellow,109
Tonie,Red,22,Winter,39.17,Partial Sun,Bi-weekly,White,147
Harlene,Violet,88,Winter,8.81,Partial Sun,Bi-weekly,White,122
Hector,Orange,63,Winter,11.21,Partial Sun,Bi-weekly,Purple,95
Barbee,Turquoise,40,Fall,41.4,Partial Sun,Weekly,Purple,136
Irwinn,Green,60,Spring,47.0,Full Sun,Weekly,Yellow,39
Erin,Crimson,59,Summer,8.37,Shade,Bi-weekly,Pink,51
Dore,Khaki,49,Fall,7.2,Full Sun,Bi-weekly,Purple,16
Emmy,Red,43,Spring,54.8,Partial Sun,Bi-weekly,White,64
Nadine,Orange,26,Summer,29.15,Partial Sun,Weekly,White,197
Emily,Puce,18,Fall,10.9,Shade,Daily,White,131
Isabel,Mauv,20,Summer,54.87,Full Sun,Daily,Purple,166
Caril,Aquamarine,74,Spring,7.92,Full Sun,Weekly,Pink,68
Lelia,Pink,38,Winter,27.18,Partial Sun,Weekly,Yellow,45
Frederique,Purple,52,Summer,47.97,Shade,Daily,White,96
Todd,Turquoise,76,Winter,24.44,Partial Sun,Daily,Purple,149
Karrie,Puce,27,Fall,57.57,Partial Sun,Bi-weekly,Red,160
Catlee,Fuscia,17,Spring,20.51,Partial Sun,Weekly,Purple,89
Udell,Purple,69,Summer,56.71,Full Sun,Weekly,Red,171
Gilberte,Fuscia,80,Winter,57.21,Full Sun,Bi-weekly,Red,21
Alis,Turquoise,67,Summer,29.34,Full Sun,Daily,Red,46
Dulcia,Orange,96,Winter,26.09,Full Sun,Weekly,Red,148
Ermina,Red,78,Fall,52.82,Full Sun,Bi-weekly,Pink,109
Cly,Khaki,40,Spring,22.06,Partial Sun,Daily,Pink,133
Kai,Goldenrod,77,Fall,21.16,Shade,Bi-weekly,Yellow,89
Teresa,Indigo,64,Fall,54.03,Partial Sun,Daily,Purple,10
Rheba,Violet,51,Summer,25.27,Shade,Daily,Red,188
Carlos,Turquoise,52,Winter,26.54,Full Sun,Bi-weekly,White,140
Bebe,Teal,48,Summer,25.16,Full Sun,Daily,Yellow,125
Jessica,Orange,56,Winter,16.06,Full Sun,Daily,White,146
Ulrich,Indigo,89,Fall,59.64,Partial Sun,Weekly,Yellow,182
Ola,Green,21,Winter,20.22,Shade,Bi-weekly,Red,191
Bettine,Blue,78,Winter,12.46,Shade,Weekly,Pink,148
Langsdon,Turquoise,95,Winter,41.45,Full Sun,Bi-weekly,Yellow,133
Gwenny,Pink,27,Winter,39.92,Partial Sun,Weekly,Red,168
Natalee,Khaki,84,Winter,7.16,Partial Sun,Bi-weekly,Yellow,195
Iolanthe,Fuscia,58,Winter,52.48,Full Sun,Daily,White,150
Hirsch,Goldenrod,5,Spring,8.35,Full Sun,Daily,Pink,167
Gerda,Aquamarine,19,Winter,8.61,Partial Sun,Daily,Yellow,122
Ema,Mauv,46,Fall,32.41,Full Sun,Bi-weekly,White,115
Sarette,Fuscia,77,Fall,43.75,Shade,Bi-weekly,Yellow,70
Aggi,Maroon,32,Summer,20.65,Partial Sun,Bi-weekly,White,35
Britta,Green,94,Fall,24.16,Shade,Weekly,Red,118
Kelsi,Crimson,62,Fall,24.32,Full Sun,Bi-weekly,White,131
Chery,Green,87,Spring,36.67,Shade,Bi-weekly,Yellow,35
Adelbert,Green,85,Spring,39.23,Shade,Daily,Purple,155
Spencer,Blue,9,Summer,10.62,Full Sun,Weekly,Yellow,158
Florenza,Aquamarine,90,Summer,19.74,Shade,Weekly,Yellow,125
Michael,Turquoise,7,Fall,55.7,Full Sun,Weekly,Purple,76
Bentley,Goldenrod,84,Winter,51.87,Shade,Bi-weekly,Red,65
Quinn,Pink,95,Fall,22.31,Shade,Weekly,Pink,166
Octavius,Pink,75,Winter,53.64,Shade,Bi-weekly,Purple,197
Novelia,Puce,60,Summer,23.6,Shade,Weekly,Red,87
Jereme,Puce,40,Fall,51.23,Partial Sun,Daily,Yellow,193
Ulrike,Crimson,24,Summer,19.66,Partial Sun,Weekly,White,47
Sayre,Violet,59,Fall,54.65,Partial Sun,Bi-weekly,Red,186
Staci,Teal,7,Fall,17.42,Shade,Weekly,Red,200
Donielle,Blue,5,Winter,41.34,Partial Sun,Weekly,White,62
Felecia,Maroon,48,Winter,47.73,Full Sun,Weekly,White,71
Dominique,Goldenrod,54,Winter,8.8,Partial Sun,Weekly,White,65
Saraann,Green,40,Summer,48.1,Full Sun,Daily,Pink,144
Thorvald,Indigo,72,Spring,41.92,Shade,Daily,Red,14
Saree,Orange,93,Spring,29.78,Full Sun,Weekly,White,158
Merrel,Blue,76,Spring,13.42,Full Sun,Bi-weekly,Red,110
Olly,Crimson,32,Summer,26.64,Partial Sun,Bi-weekly,Yellow,195
Justen,Pink,30,Summer,32.07,Shade,Bi-weekly,Yellow,152
Kelci,Indigo,19,Spring,39.55,Full Sun,Daily,Red,174
Rhett,Orange,26,Summer,50.47,Shade,Daily,Red,84
Dorey,Aquamarine,61,Spring,38.75,Partial Sun,Bi-weekly,Pink,53
Galvin,Orange,86,Fall,23.39,Shade,Bi-weekly,White,102
Lucine,Red,10,Winter,35.72,Shade,Bi-weekly,Red,99
Prescott,Crimson,39,Winter,36.22,Partial Sun,Daily,Red,100
Sammy,Khaki,61,Winter,53.98,Partial Sun,Weekly,Yellow,105
Sidonnie,Goldenrod,88,Summer,57.71,Shade,Bi-weekly,Purple,41
Charla,Purple,11,Summer,42.69,Shade,Bi-weekly,Yellow,190
Vanya,Orange,98,Summer,37.13,Shade,Weekly,Yellow,172
Krissy,Blue,21,Summer,32.74,Shade,Bi-weekly,Purple,61
Vale,Blue,63,Fall,33.03,Shade,Daily,White,36
Traver,Violet,23,Fall,53.16,Shade,Daily,Purple,163
Bettina,Purple,78,Summer,6.93,Full Sun,Weekly,White,108
Philippe,Aquamarine,69,Spring,39.57,Shade,Weekly,White,141
Lock,Puce,12,Winter,59.44,Full Sun,Weekly,Pink,130
Sherill,Puce,89,Fall,50.26,Partial Sun,Bi-weekly,Purple,153
Hunt,Orange,25,Summer,11.24,Shade,Weekly,Red,110
Etta,Teal,67,Summer,41.9,Partial Sun,Weekly,Purple,97
Ezri,Yellow,6,Fall,6.77,Partial Sun,Weekly,Red,62
Wainwright,Aquamarine,41,Fall,41.99,Full Sun,Daily,Red,74
Ekaterina,Turquoise,36,Winter,43.01,Full Sun,Weekly,Red,190
Annemarie,Yellow,33,Fall,6.42,Full Sun,Weekly,Yellow,59
Quillan,Turquoise,24,Fall,9.49,Shade,Daily,Yellow,80
Caprice,Indigo,12,Fall,42.1,Partial Sun,Weekly,Purple,75
Monro,Crimson,53,Spring,18.05,Partial Sun,Bi-weekly,Red,162
Cristin,Khaki,50,Winter,28.47,Full Sun,Bi-weekly,Yellow,181
Hill,Blue,58,Fall,38.64,Full Sun,Bi-weekly,Red,43
Sherwynd,Turquoise,48,Winter,32.67,Full Sun,Bi-weekly,Purple,192
Cully,Teal,92,Winter,44.1,Full Sun,Daily,Red,53
Kipper,Green,20,Fall,48.87,Full Sun,Daily,Yellow,56
Rich,Red,7,Spring,20.08,Full Sun,Weekly,Purple,44
Ewart,Maroon,69,Winter,22.49,Partial Sun,Weekly,Purple,26
Vicki,Aquamarine,73,Summer,18.29,Shade,Bi-weekly,Pink,86
Darrick,Fuscia,6,Summer,14.0,Partial Sun,Bi-weekly,White,107
Marcile,Orange,32,Fall,7.46,Shade,Bi-weekly,White,81
Callie,Maroon,51,Fall,26.28,Full Sun,Bi-weekly,Pink,188
Paulie,Yellow,80,Winter,48.37,Partial Sun,Bi-weekly,Yellow,145
Nevile,Red,41,Winter,36.39,Shade,Weekly,Red,28
Delainey,Orange,15,Summer,35.0,Shade,Bi-weekly,Red,84
Krissy,Goldenrod,35,Fall,32.52,Partial Sun,Bi-weekly,Red,181
Georgena,Green,5,Spring,14.55,Full Sun,Weekly,White,139
Cynthy,Violet,11,Fall,56.88,Partial Sun,Weekly,Pink,112
Kyrstin,Orange,52,Spring,48.99,Partial Sun,Bi-weekly,Purple,95
Shalna,Maroon,20,Winter,57.92,Partial Sun,Bi-weekly,Pink,131
